64,מעיינות גבתון לתל גזר,0,0,4.0,השפלה,ראשון לציון רחובות ונס ציונה,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False

65,מעיינות גוש עציון,1,0,2.0,הרי ירושלים ואזור בית שמש,nan,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False

66,מעין מעריף להר ערקוב,1,2,10.5,מרכז הנגב והמכתשים,המכתש הגדול המכתש הקטן ומרכז הנגב,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False

67,מערת אצבע עתלית וחרבת קרתה,0,1,3.0,חיפה והכרמל,חיפה והר הכרמל,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False

68,מערת התאומים ונחל המערה,0,1,7.0,הרי ירושלים ואזור בית שמש,nan,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False

69,מערת קשת ומערת נמר,1,1,2.0,גליל מערבי,מעלות וסביבותיה,True,True,True,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False

70,מצדה,1,0,2.0,ים המלח ומדבר יהודה,דרום ים המלח ומדבר יהודה,True,True,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False

71,מקורות הירקון מגדל צדק ומבצר אנטיפטרוס,0,0,3.0,מישור החוף וגוש דן,חולון פתח תקווה וגוש דן,True,True,True,True,True,False,True,True,True,False,False,True,False,True,True,False,False,False

72,מרמות נפתלי לעין אווזים,1,0,5.0,גליל עליון אצבע הגליל והגולן,אצבע הגליל - מראש פינה ועד מטולה,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False

73,מתל אכזיב לראש הנקרה,1,0,6.0,גליל מערבי,עכו נהריה וראש הנקרה,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False

74,נחל  פצאל ויובליו,0,1,10.0,שומרון,nan,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False

75,נחל spring ונחל דישון,1,0,4.0,גליל מערבי,מעלות וסביבותיה,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False

76,נחל אוג למשפחות,1,1,3.0,ים המלח ומדבר יהודה,צפון ים המלח,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False

77,נחל אורן - ממחצבות קדומים לחניון האגם,1,0,2.0,חיפה והכרמל,חיפה והר הכרמל,True,True,True,True,True,False,True,False,True,False,False,False,False,False,True,True,False,False

78,נחל אל על: מים בין בזלת לגיר,0,1,6.0,גליל עליון אצבע הגליל והגולן,רמת הגולן,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False

79,נחל אלכסנדר והצבים הרכים,1,0,3.0,השרון,חדרה וקיסריה,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,True,False,False

80,נחל אשלים ונחל עזגד: מסע בין גבי מים,0,2,10.0,ים המלח ומדבר יהודה,דרום ים המלח ומדבר יהודה,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False

81,נחל ברק והר כיפה,1,1,4.0,מרכז הנגב והמכתשים,nan,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False

82,נחל ג'ילבון,1,1,3.0,גליל עליון אצבע הגליל והגולן,רמת הגולן,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False

83,נחל גוב ומעלה עקרבים,0,1,8.0,מרכז הנגב והמכתשים,nan,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False

84,נחל גוש חלב,1,0,5.0,גליל מערבי,מעלות וסביבותיה,True,True,True,True,True,False,True,False,True,False,False,False,False,False,True,True,False,False

85,נחל גשרון עליון,0,0,3.0,דרום הנגב והרי אילת,nan,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False

86,נחל דולב ועין פירים,0,1,9.0,הרי ירושלים ואזור בית שמש,nan,True,True,True,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False

87,נחל דרגה - נחל מורבעת,1,2,7.0,ים המלח ומדבר יהודה,צפון ים המלח,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False

88,נחל הבשור ופארק אשכול,0,0,14.0,צפון הנגב,אשקלון וסביבותיה,True,True,True,True,True,False,True,True,True,False,False,False,False,True,True,True,False,False

89,נחל הקיבוצים הגלבוע ונחל יצפור,1,1,5.0,גליל תחתון עמקים וגלבוע,הגלבוע ועמק המעיינות,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False

90,נחל השופט,0,0,2.0,חיפה והכרמל,חוף הכרמל זכרון יעקב ורמות מנשה,True,True,True,True,True,False,True,True,True,False,False,True,False,True,True,True,False,False

91,נחל חווארים: טיול לילה בירח מלא,1,0,3.0,מרכז הנגב והמכתשים,nan,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False

92,נחל חזורי גובתה ומבצר נמרוד,0,1,5.0,גליל עליון אצבע הגליל והגולן,החרמון ומקורות הירדן,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False

93,נחל חלילים ועינות תלם,1,0,3.0,הרי ירושלים ואזור בית שמש,nan,True,True,True,True,True,False,True,False,False,False,False,False,True,False,True,True,False,False

94,נחל חצץ ופריחת הנרקיסים,1,1,8.0,מרכז הנגב והמכתשים,nan,False,True,False,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False

95,נחל יגור,0,1,9.0,חיפה והכרמל,חיפה והר הכרמל,True,True,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False

96,נחל יהודיה,1,1,3.0,גליל עליון אצבע הגליל והגולן,רמת הגולן,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False

97,נחל יחיעם,0,0,4.5,גליל מערבי,עכו נהריה וראש הנקרה,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False

98,"נחל ימין ונחל חתירה – בעקבות סיירי הפלמ""ח",1,1,9.0,מרכז הנגב והמכתשים,המכתש הגדול המכתש הקטן ומרכז הנגב,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False

99,נחל כזיב,0,1,8.0,גליל מערבי,מעלות וסביבותיה,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,True,False,False

100,נחל כרמילה ונחל כסלון,1,1,6.0,הרי ירושלים ואזור בית שמש,nan,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False

101,נחל לוטם וגן החיות הלימודי בחיפה,1,0,3.0,חיפה והכרמל,חיפה והר הכרמל,True,True,True,True,True,False,True,False,False,True,False,False,True,True,True,False,False,False

102,נחל מיצר,1,1,6.0,גליל עליון אצבע הגליל והגולן,רמת הגולן,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False

103,נחל מערות: טיול אל מערות הכרמל,1,0,3.0,חיפה והכרמל,חיפה והר הכרמל,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True,False,False,False

104,נחל משמר,0,2,9.0,ים המלח ומדבר יהודה,דרום ים המלח ומדבר יהודה,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False

105,נחל סער ומפל סער,1,1,3.0,גליל עליון אצבע הגליל והגולן,החרמון ומקורות הירדן,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False

106,נחל ספונים,1,1,4.0,חיפה והכרמל,חיפה והר הכרמל,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False

107,נחל עורבים,0,1,6.0,גליל עליון אצבע הגליל והגולן,רמת הגולן,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False

108,נחל עיון ומפל התנור,1,0,3.0,גליל עליון אצבע הגליל והגולן,אצבע הגליל - מראש פינה ועד מטולה,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False

109,נחל עמוד עליון ונחל מירון,1,1,3.0,גליל מערבי,צפת ורכס הרי מירון,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False

110,נחל עקרבים,0,2,8.0,מרכז הנגב והמכתשים,המכתש הגדול המכתש הקטן ומרכז הנגב,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False

111,נחל פרס תחתון,0,1,6.0,ים המלח ומדבר יהודה,דרום ים המלח ומדבר יהודה,True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False

112,נחל פרצים והר סדום - טיול יום ולילה,0,0,8.0,ים המלח ומדבר יהודה,דרום ים המלח ומדבר יהודה,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False

113,נחל צאלים וברכת צפירה,0,2,12.0,ים המלח ומדבר יהודה,דרום ים המלח ומדבר יהודה,True,True,True,True,False,True,False,True,False,False,False,False,False,False,True,True,True,False

114,נחל צביה,1,1,7.5,גליל תחתון עמקים וגלבוע,הגלבוע ועמק המעיינות,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False

115,נחל ציפורי,1,0,4.0,גליל תחתון עמקים וגלבוע,נצרת עפולה ועמק יזרעאל,True,True,True,True,True,False,True,True,True,False,False,False,False,True,True,True,False,False

116,נחל צלמון,1,0,2.0,גליל מערבי,צפת ורכס הרי מירון,True,True,True,True,True,False,True,True,True,False,False,False,False,True,False,True,False,False

117,נחל קדש,1,1,3.0,גליל עליון אצבע הגליל והגולן,אצבע הגליל - מראש פינה ועד מטולה,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False

118,נחל קטלב ומערת הנטיפים,1,1,5.0,הרי ירושלים ואזור בית שמש,nan,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False

119,נחל קינה,0,1,9.5,ים המלח ומדבר יהודה,דרום ים המלח ומדבר יהודה,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False

120,נחל קנה – בוסתנים ומעיינות בלב השומרון,1,1,5.0,שומרון,nan,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False

121,נחל ראש פינה,0,0,3.5,גליל עליון אצבע הגליל והגולן,אצבע הגליל - מראש פינה ועד מטולה,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False

122,נחל שיח,1,0,2.0,חיפה והכרמל,חיפה והר הכרמל,True,True,True,True,True,False,True,False,False,True,False,False,True,True,False,True,False,False

123,נחל שניר-חצבני: מסלול בנחל חוצה גבולות,1,0,2.0,גליל עליון אצבע הגליל והגולן,החרמון ומקורות הירדן,True,True,True,True,True,False,True,True,False,False,False,True,False,False,False,True,False,False

124,נחל שרך ונחל בצת,1,1,5.0,גליל מערבי,מעלות וסביבותיה,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False

125,נחל תבור,1,1,8.0,גליל תחתון עמקים וגלבוע,נצרת עפולה ועמק יזרעאל,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,True,False,False

126,נחל תמר-צפית: אתגר בשטח בדרום ים המלח,1,1,3.0,ים המלח ומדבר יהודה,דרום ים המלח ומדבר יהודה,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False

127,נחל תנינים,1,0,2.0,חיפה והכרמל,חוף הכרמל זכרון יעקב ורמות מנשה,True,True,True,True,True,False,True,True,False,False,False,True,False,False,True,True,False,False

128,ניצנה - העיר הנבטית והסביבה,0,0,3.0,צפון הנגב,באר שבע וחבל ניצנה,True,True,True,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False

129,סיור ברובע היהודי,1,0,3.0,ירושלים,nan,True,True,True,True,True,False,False,True,False,True,False,False,True,True,False,False,False,False

130,עין אפק,1,0,1.0,גליל מערבי,עכו נהריה וראש הנקרה,True,True,True,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False

131,עין בוקק נחל בוקק וצוק תמרור,0,1,10.0,ים המלח ומדבר יהודה,דרום ים המלח ומדבר יהודה,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False

132,עין גדי ונחל ערוגות,0,1,8.0,ים המלח ומדבר יהודה,דרום ים המלח ומדבר יהודה,True,True,True,True,True,False,True,True,False,False,False,False,True,False,False,True,False,False

133,עין מבוע נחל פרת - ואדי קלט,0,1,7.0,ים המלח ומדבר יהודה,צפון ים המלח,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,True,False,False

134,עין מטע חרבת חנות ושביל הקיסר,1,1,5.0,הרי ירושלים ואזור בית שמש,nan,True,True,True,True,True,False,True,True,True,False,False,False,False,True,True,True,False,False

135,עין עבדת ועיר הנבטים עבדת,1,0,3.0,מרכז הנגב והמכתשים,מצפה רמון והר הנגב המערבי,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False

136,עין עקב חוד עקב ומעלה דבשון,0,1,16.0,מרכז הנגב והמכתשים,מצפה רמון והר הנגב המערבי,True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False

137,עין שרונה ובקעת יבניאל,1,0,3.0,גליל תחתון עמקים וגלבוע,נצרת עפולה ועמק יזרעאל,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False

138,עינות צוקים וקומראן,0,1,6.0,ים המלח ומדבר יהודה,צפון ים המלח,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False

